time,enrolled,available,waitlisted,total,course,quarter,pass,priority
2023-02-21,6.0,28.0,0.0,34.0,PHYS 105B,SP 23,1,4
2023-02-25,13.0,21.0,0.0,34.0,PHYS 105B,SP 23,2,1
2023-02-26,13.0,21.0,0.0,34.0,PHYS 105B,SP 23,2,2
2023-02-27,13.0,21.0,0.0,34.0,PHYS 105B,SP 23,2,3
2023-02-28,23.0,11.0,0.0,34.0,PHYS 105B,SP 23,2,4
2023-03-04,30.0,4.0,0.0,34.0,PHYS 105B,SP 23,3,6
2023-02-18,0.0,60.0,0.0,60.0,PHYS 12,SP 23,1,1
2023-02-19,1.0,59.0,0.0,60.0,PHYS 12,SP 23,1,2
2023-02-20,2.0,58.0,0.0,60.0,PHYS 12,SP 23,1,3
2023-02-21,8.0,52.0,0.0,60.0,PHYS 12,SP 23,1,4
2023-02-25,21.0,39.0,0.0,60.0,PHYS 12,SP 23,2,1
2023-02-26,21.0,39.0,0.0,60.0,PHYS 12,SP 23,2,2
2023-02-27,21.0,39.0,0.0,60.0,PHYS 12,SP 23,2,3
2023-02-28,24.0,36.0,0.0,60.0,PHYS 12,SP 23,2,4
2023-03-04,49.0,11.0,0.0,60.0,PHYS 12,SP 23,3,6
2023-02-18,0.0,132.0,0.0,132.0,PHYS 120,SP 23,1,1
2023-02-19,7.0,125.0,0.0,132.0,PHYS 120,SP 23,1,2
2023-02-20,8.0,124.0,0.0,132.0,PHYS 120,SP 23,1,3
2023-02-21,26.0,106.0,0.0,132.0,PHYS 120,SP 23,1,4
2023-02-25,54.0,78.0,0.0,132.0,PHYS 120,SP 23,2,1
2023-02-26,54.0,78.0,0.0,132.0,PHYS 120,SP 23,2,2
2023-02-27,54.0,78.0,0.0,132.0,PHYS 120,SP 23,2,3
2023-02-28,55.0,77.0,0.0,132.0,PHYS 120,SP 23,2,4
2023-03-04,79.0,53.0,0.0,132.0,PHYS 120,SP 23,3,6
2023-02-18,0.0,75.0,0.0,75.0,PHYS 13,SP 23,1,1
2023-02-19,0.0,75.0,0.0,75.0,PHYS 13,SP 23,1,2
2023-02-20,1.0,74.0,0.0,75.0,PHYS 13,SP 23,1,3
2023-02-21,4.0,71.0,0.0,75.0,PHYS 13,SP 23,1,4
2023-02-25,12.0,63.0,0.0,75.0,PHYS 13,SP 23,2,1
2023-02-26,12.0,63.0,0.0,75.0,PHYS 13,SP 23,2,2
2023-02-27,12.0,63.0,0.0,75.0,PHYS 13,SP 23,2,3
2023-02-28,17.0,58.0,0.0,75.0,PHYS 13,SP 23,2,4
2023-03-04,49.0,26.0,0.0,75.0,PHYS 13,SP 23,3,6
2023-02-18,0.0,90.0,0.0,90.0,PHYS 130A,SP 23,1,1
2023-02-19,1.0,89.0,0.0,90.0,PHYS 130A,SP 23,1,2
2023-02-20,1.0,89.0,0.0,90.0,PHYS 130A,SP 23,1,3
2023-02-21,5.0,85.0,0.0,90.0,PHYS 130A,SP 23,1,4
2023-02-25,6.0,84.0,0.0,90.0,PHYS 130A,SP 23,2,1
2023-02-26,6.0,84.0,0.0,90.0,PHYS 130A,SP 23,2,2
2023-02-27,6.0,84.0,0.0,90.0,PHYS 130A,SP 23,2,3
2023-02-28,12.0,78.0,0.0,90.0,PHYS 130A,SP 23,2,4
2023-03-04,49.0,41.0,0.0,90.0,PHYS 130A,SP 23,3,6
2023-02-18,0.0,20.0,0.0,20.0,PHYS 133,SP 23,1,1
2023-02-19,1.0,19.0,0.0,20.0,PHYS 133,SP 23,1,2
2023-02-20,1.0,19.0,0.0,20.0,PHYS 133,SP 23,1,3
2023-02-21,13.0,7.0,0.0,20.0,PHYS 133,SP 23,1,4
2023-02-25,20.0,0.0,0.0,20.0,PHYS 133,SP 23,2,1
2023-02-26,20.0,0.0,0.0,20.0,PHYS 133,SP 23,2,2
2023-02-27,20.0,0.0,0.0,20.0,PHYS 133,SP 23,2,3
2023-02-28,21.0,0.0,2.0,20.0,PHYS 133,SP 23,2,4
2023-03-04,21.0,0.0,4.0,20.0,PHYS 133,SP 23,3,6
2023-02-18,0.0,80.0,0.0,80.0,PHYS 139,SP 23,1,1
2023-02-19,3.0,77.0,0.0,80.0,PHYS 139,SP 23,1,2
2023-02-20,4.0,76.0,0.0,80.0,PHYS 139,SP 23,1,3
2023-02-21,7.0,73.0,0.0,80.0,PHYS 139,SP 23,1,4
2023-02-25,11.0,69.0,0.0,80.0,PHYS 139,SP 23,2,1
2023-02-26,11.0,69.0,0.0,80.0,PHYS 139,SP 23,2,2
2023-02-27,11.0,69.0,0.0,80.0,PHYS 139,SP 23,2,3
2023-02-28,16.0,64.0,0.0,80.0,PHYS 139,SP 23,2,4
2023-03-04,23.0,57.0,0.0,80.0,PHYS 139,SP 23,3,6
2023-02-18,0.0,12.0,0.0,12.0,PHYS 141,SP 23,1,1
2023-02-19,5.0,7.0,0.0,12.0,PHYS 141,SP 23,1,2
2023-02-20,6.0,6.0,0.0,12.0,PHYS 141,SP 23,1,3
2023-02-21,12.0,0.0,0.0,12.0,PHYS 141,SP 23,1,4
2023-02-25,18.0,2.0,0.0,20.0,PHYS 141,SP 23,2,1
2023-02-26,18.0,2.0,0.0,20.0,PHYS 141,SP 23,2,2
2023-02-27,18.0,2.0,0.0,20.0,PHYS 141,SP 23,2,3
2023-02-28,20.0,0.0,1.0,20.0,PHYS 141,SP 23,2,4
2023-03-04,30.0,0.0,0.0,30.0,PHYS 141,SP 23,3,6
2023-02-18,0.0,44.0,0.0,44.0,PHYS 152B,SP 23,1,1
2023-02-19,0.0,44.0,0.0,44.0,PHYS 152B,SP 23,1,2
2023-02-20,1.0,43.0,0.0,44.0,PHYS 152B,SP 23,1,3
2023-02-21,2.0,42.0,0.0,44.0,PHYS 152B,SP 23,1,4
2023-02-25,5.0,39.0,0.0,44.0,PHYS 152B,SP 23,2,1
2023-02-26,5.0,39.0,0.0,44.0,PHYS 152B,SP 23,2,2
2023-02-27,5.0,39.0,0.0,44.0,PHYS 152B,SP 23,2,3
2023-02-28,7.0,37.0,0.0,44.0,PHYS 152B,SP 23,2,4
2023-03-04,15.0,29.0,0.0,44.0,PHYS 152B,SP 23,3,6
2023-02-18,0.0,50.0,0.0,50.0,PHYS 162,SP 23,1,1
2023-02-19,4.0,46.0,0.0,50.0,PHYS 162,SP 23,1,2
2023-02-20,4.0,46.0,0.0,50.0,PHYS 162,SP 23,1,3
2023-02-21,10.0,40.0,0.0,50.0,PHYS 162,SP 23,1,4
2023-02-25,15.0,35.0,0.0,50.0,PHYS 162,SP 23,2,1
2023-02-26,15.0,35.0,0.0,50.0,PHYS 162,SP 23,2,2
2023-02-27,15.0,35.0,0.0,50.0,PHYS 162,SP 23,2,3
2023-02-28,23.0,27.0,0.0,50.0,PHYS 162,SP 23,2,4
2023-03-04,36.0,14.0,0.0,50.0,PHYS 162,SP 23,3,6
2023-02-18,0.0,20.0,0.0,20.0,PHYS 173,SP 23,1,1
2023-02-19,0.0,20.0,0.0,20.0,PHYS 173,SP 23,1,2
2023-02-20,0.0,20.0,0.0,20.0,PHYS 173,SP 23,1,3
2023-02-21,0.0,20.0,0.0,20.0,PHYS 173,SP 23,1,4
2023-02-25,0.0,20.0,0.0,20.0,PHYS 173,SP 23,2,1
2023-02-26,0.0,20.0,0.0,20.0,PHYS 173,SP 23,2,2
2023-02-27,0.0,20.0,0.0,20.0,PHYS 173,SP 23,2,3
2023-02-28,1.0,19.0,0.0,20.0,PHYS 173,SP 23,2,4
2023-03-04,2.0,18.0,0.0,20.0,PHYS 173,SP 23,3,6
2023-02-18,0.0,15.0,0.0,15.0,PHYS 177,SP 23,1,1
2023-02-19,3.0,12.0,0.0,15.0,PHYS 177,SP 23,1,2
2023-02-20,5.0,10.0,0.0,15.0,PHYS 177,SP 23,1,3
2023-02-21,8.0,7.0,0.0,15.0,PHYS 177,SP 23,1,4
2023-02-25,17.0,13.0,0.0,30.0,PHYS 177,SP 23,2,1
2023-02-26,17.0,13.0,0.0,30.0,PHYS 177,SP 23,2,2
2023-02-27,17.0,13.0,0.0,30.0,PHYS 177,SP 23,2,3
2023-02-28,17.0,13.0,0.0,30.0,PHYS 177,SP 23,2,4
2023-03-04,26.0,4.0,0.0,30.0,PHYS 177,SP 23,3,6
2023-03-04,0.0,9999.0,0.0,9999.0,PHYS 198,SP 23,3,6
2023-02-18,0.0,330.0,0.0,330.0,PHYS 1A,SP 23,1,1
2023-02-19,28.0,302.0,0.0,330.0,PHYS 1A,SP 23,1,2
2023-02-20,28.0,302.0,0.0,330.0,PHYS 1A,SP 23,1,3
2023-02-21,36.0,294.0,0.0,330.0,PHYS 1A,SP 23,1,4
2023-02-25,209.0,121.0,0.0,330.0,PHYS 1A,SP 23,2,1
2023-02-26,209.0,121.0,0.0,330.0,PHYS 1A,SP 23,2,2
2023-02-27,209.0,121.0,0.0,330.0,PHYS 1A,SP 23,2,3
2023-02-28,227.0,103.0,0.0,330.0,PHYS 1A,SP 23,2,4
2023-03-04,362.0,0.0,29.0,362.0,PHYS 1A,SP 23,3,6
2023-02-18,0.0,360.0,0.0,360.0,PHYS 1AL,SP 23,1,1
2023-02-19,23.0,337.0,0.0,360.0,PHYS 1AL,SP 23,1,2
2023-02-20,23.0,337.0,0.0,360.0,PHYS 1AL,SP 23,1,3
2023-02-21,30.0,330.0,0.0,360.0,PHYS 1AL,SP 23,1,4
2023-02-25,249.0,111.0,0.0,360.0,PHYS 1AL,SP 23,2,1
2023-02-26,251.0,109.0,0.0,360.0,PHYS 1AL,SP 23,2,2
2023-02-27,251.0,109.0,0.0,360.0,PHYS 1AL,SP 23,2,3
2023-02-28,266.0,94.0,0.0,360.0,PHYS 1AL,SP 23,2,4
2023-03-04,354.0,6.0,9.0,360.0,PHYS 1AL,SP 23,3,6
2023-02-18,0.0,360.0,0.0,360.0,PHYS 1B,SP 23,1,1
2023-02-19,17.0,343.0,0.0,360.0,PHYS 1B,SP 23,1,2
2023-02-20,20.0,340.0,0.0,360.0,PHYS 1B,SP 23,1,3
2023-02-21,29.0,331.0,0.0,360.0,PHYS 1B,SP 23,1,4
2023-02-25,180.0,180.0,0.0,360.0,PHYS 1B,SP 23,2,1
2023-02-26,179.0,181.0,0.0,360.0,PHYS 1B,SP 23,2,2
2023-02-27,179.0,181.0,0.0,360.0,PHYS 1B,SP 23,2,3
2023-02-28,190.0,170.0,0.0,360.0,PHYS 1B,SP 23,2,4
2023-03-04,341.0,19.0,0.0,360.0,PHYS 1B,SP 23,3,6
2023-02-18,0.0,360.0,0.0,360.0,PHYS 1BL,SP 23,1,1
2023-02-19,24.0,336.0,0.0,360.0,PHYS 1BL,SP 23,1,2
2023-02-20,26.0,334.0,0.0,360.0,PHYS 1BL,SP 23,1,3
2023-02-21,38.0,322.0,0.0,360.0,PHYS 1BL,SP 23,1,4
2023-02-25,319.0,41.0,0.0,360.0,PHYS 1BL,SP 23,2,1
2023-02-26,320.0,40.0,0.0,360.0,PHYS 1BL,SP 23,2,2
2023-02-27,320.0,40.0,0.0,360.0,PHYS 1BL,SP 23,2,3
2023-02-28,325.0,35.0,0.0,360.0,PHYS 1BL,SP 23,2,4
2023-03-04,360.0,0.0,18.0,360.0,PHYS 1BL,SP 23,3,6
2023-02-18,0.0,1200.0,0.0,1200.0,PHYS 1C,SP 23,1,1
2023-02-19,41.0,1159.0,0.0,1200.0,PHYS 1C,SP 23,1,2
2023-02-20,45.0,1155.0,0.0,1200.0,PHYS 1C,SP 23,1,3
2023-02-21,88.0,1112.0,0.0,1200.0,PHYS 1C,SP 23,1,4
2023-02-25,402.0,798.0,0.0,1200.0,PHYS 1C,SP 23,2,1
2023-02-26,402.0,798.0,0.0,1200.0,PHYS 1C,SP 23,2,2
2023-02-27,402.0,798.0,0.0,1200.0,PHYS 1C,SP 23,2,3
2023-02-28,459.0,741.0,0.0,1200.0,PHYS 1C,SP 23,2,4
2023-03-04,1155.0,45.0,35.0,1200.0,PHYS 1C,SP 23,3,6
2023-02-18,0.0,1080.0,0.0,1080.0,PHYS 1CL,SP 23,1,1
2023-02-19,77.0,1003.0,0.0,1080.0,PHYS 1CL,SP 23,1,2
2023-02-20,81.0,999.0,0.0,1080.0,PHYS 1CL,SP 23,1,3
2023-02-21,166.0,914.0,0.0,1080.0,PHYS 1CL,SP 23,1,4
2023-02-25,1015.0,65.0,0.0,1080.0,PHYS 1CL,SP 23,2,1
2023-02-26,1016.0,64.0,0.0,1080.0,PHYS 1CL,SP 23,2,2
2023-02-27,1016.0,64.0,0.0,1080.0,PHYS 1CL,SP 23,2,3
2023-02-28,1025.0,55.0,5.0,1080.0,PHYS 1CL,SP 23,2,4
2023-03-04,1080.0,0.0,54.0,1080.0,PHYS 1CL,SP 23,3,6
2023-02-18,0.0,343.0,0.0,343.0,PHYS 2A,SP 23,1,1
2023-02-19,12.0,331.0,0.0,343.0,PHYS 2A,SP 23,1,2
2023-02-20,12.0,331.0,0.0,343.0,PHYS 2A,SP 23,1,3
2023-02-21,13.0,330.0,0.0,343.0,PHYS 2A,SP 23,1,4
2023-02-25,91.0,252.0,0.0,343.0,PHYS 2A,SP 23,2,1
2023-02-26,91.0,252.0,0.0,343.0,PHYS 2A,SP 23,2,2
2023-02-27,91.0,252.0,0.0,343.0,PHYS 2A,SP 23,2,3
2023-02-28,104.0,239.0,0.0,343.0,PHYS 2A,SP 23,2,4
2023-03-04,243.0,100.0,2.0,343.0,PHYS 2A,SP 23,3,6
2023-02-18,0.0,720.0,0.0,720.0,PHYS 2B,SP 23,1,1
2023-02-19,22.0,698.0,0.0,720.0,PHYS 2B,SP 23,1,2
2023-02-20,22.0,698.0,0.0,720.0,PHYS 2B,SP 23,1,3
2023-02-21,28.0,692.0,0.0,720.0,PHYS 2B,SP 23,1,4
2023-02-25,229.0,491.0,0.0,720.0,PHYS 2B,SP 23,2,1
2023-02-26,231.0,489.0,0.0,720.0,PHYS 2B,SP 23,2,2
2023-02-27,231.0,489.0,0.0,720.0,PHYS 2B,SP 23,2,3
2023-02-28,264.0,456.0,1.0,720.0,PHYS 2B,SP 23,2,4
2023-03-04,553.0,167.0,7.0,720.0,PHYS 2B,SP 23,3,6
2023-02-18,0.0,360.0,0.0,360.0,PHYS 2BL,SP 23,1,1
2023-02-19,39.0,321.0,0.0,360.0,PHYS 2BL,SP 23,1,2
2023-02-20,42.0,318.0,0.0,360.0,PHYS 2BL,SP 23,1,3
2023-02-21,61.0,299.0,0.0,360.0,PHYS 2BL,SP 23,1,4
2023-02-25,246.0,114.0,0.0,360.0,PHYS 2BL,SP 23,2,1
2023-02-26,246.0,114.0,0.0,360.0,PHYS 2BL,SP 23,2,2
2023-02-27,246.0,114.0,0.0,360.0,PHYS 2BL,SP 23,2,3
2023-02-28,251.0,109.0,0.0,360.0,PHYS 2BL,SP 23,2,4
2023-03-04,279.0,81.0,4.0,360.0,PHYS 2BL,SP 23,3,6
2023-02-18,0.0,360.0,0.0,360.0,PHYS 2C,SP 23,1,1
2023-02-19,19.0,341.0,0.0,360.0,PHYS 2C,SP 23,1,2
2023-02-20,20.0,340.0,0.0,360.0,PHYS 2C,SP 23,1,3
2023-02-21,31.0,329.0,0.0,360.0,PHYS 2C,SP 23,1,4
2023-02-25,149.0,211.0,0.0,360.0,PHYS 2C,SP 23,2,1
2023-02-26,150.0,210.0,0.0,360.0,PHYS 2C,SP 23,2,2
2023-02-27,150.0,210.0,0.0,360.0,PHYS 2C,SP 23,2,3
2023-02-28,160.0,200.0,0.0,360.0,PHYS 2C,SP 23,2,4
2023-03-04,282.0,78.0,4.0,360.0,PHYS 2C,SP 23,3,6
2023-02-18,0.0,168.0,0.0,168.0,PHYS 2CL,SP 23,1,1
2023-02-19,11.0,157.0,0.0,168.0,PHYS 2CL,SP 23,1,2
2023-02-20,12.0,156.0,0.0,168.0,PHYS 2CL,SP 23,1,3
2023-02-21,18.0,150.0,0.0,168.0,PHYS 2CL,SP 23,1,4
2023-02-25,103.0,65.0,0.0,168.0,PHYS 2CL,SP 23,2,1
2023-02-26,104.0,64.0,0.0,168.0,PHYS 2CL,SP 23,2,2
2023-02-27,104.0,64.0,0.0,168.0,PHYS 2CL,SP 23,2,3
2023-02-28,104.0,64.0,0.0,168.0,PHYS 2CL,SP 23,2,4
2023-03-04,115.0,53.0,0.0,168.0,PHYS 2CL,SP 23,3,6
2023-02-18,0.0,75.0,0.0,75.0,PHYS 2D,SP 23,1,1
2023-02-19,1.0,74.0,0.0,75.0,PHYS 2D,SP 23,1,2
2023-02-20,3.0,72.0,0.0,75.0,PHYS 2D,SP 23,1,3
2023-02-21,6.0,69.0,0.0,75.0,PHYS 2D,SP 23,1,4
2023-02-25,33.0,42.0,0.0,75.0,PHYS 2D,SP 23,2,1
2023-02-26,33.0,42.0,0.0,75.0,PHYS 2D,SP 23,2,2
2023-02-27,33.0,42.0,0.0,75.0,PHYS 2D,SP 23,2,3
2023-02-28,34.0,41.0,1.0,75.0,PHYS 2D,SP 23,2,4
2023-03-04,49.0,26.0,3.0,75.0,PHYS 2D,SP 23,3,6
2023-02-18,0.0,120.0,0.0,120.0,PHYS 4B,SP 23,1,1
2023-02-19,2.0,118.0,0.0,120.0,PHYS 4B,SP 23,1,2
2023-02-20,4.0,116.0,0.0,120.0,PHYS 4B,SP 23,1,3
2023-02-21,6.0,114.0,0.0,120.0,PHYS 4B,SP 23,1,4
2023-02-25,40.0,80.0,0.0,120.0,PHYS 4B,SP 23,2,1
2023-02-26,40.0,80.0,0.0,120.0,PHYS 4B,SP 23,2,2
2023-02-27,40.0,80.0,0.0,120.0,PHYS 4B,SP 23,2,3
2023-02-28,42.0,78.0,0.0,120.0,PHYS 4B,SP 23,2,4
2023-03-04,73.0,47.0,0.0,120.0,PHYS 4B,SP 23,3,6
2023-02-18,0.0,120.0,0.0,120.0,PHYS 4E,SP 23,1,1
2023-02-19,2.0,118.0,0.0,120.0,PHYS 4E,SP 23,1,2
2023-02-20,3.0,117.0,0.0,120.0,PHYS 4E,SP 23,1,3
2023-02-21,5.0,115.0,0.0,120.0,PHYS 4E,SP 23,1,4
2023-02-25,25.0,95.0,0.0,120.0,PHYS 4E,SP 23,2,1
2023-02-26,25.0,95.0,0.0,120.0,PHYS 4E,SP 23,2,2
2023-02-27,25.0,95.0,0.0,120.0,PHYS 4E,SP 23,2,3
2023-02-28,30.0,90.0,0.0,120.0,PHYS 4E,SP 23,2,4
2023-03-04,86.0,34.0,1.0,120.0,PHYS 4E,SP 23,3,6
2023-02-18,0.0,20.0,0.0,20.0,PHYS 87,SP 23,1,1
2023-02-19,1.0,19.0,0.0,20.0,PHYS 87,SP 23,1,2
2023-02-20,1.0,19.0,0.0,20.0,PHYS 87,SP 23,1,3
2023-02-21,1.0,19.0,0.0,20.0,PHYS 87,SP 23,1,4
2023-02-25,6.0,14.0,0.0,20.0,PHYS 87,SP 23,2,1
2023-02-26,6.0,14.0,0.0,20.0,PHYS 87,SP 23,2,2
2023-02-27,6.0,14.0,0.0,20.0,PHYS 87,SP 23,2,3
2023-02-28,8.0,12.0,0.0,20.0,PHYS 87,SP 23,2,4
2023-03-04,15.0,5.0,0.0,20.0,PHYS 87,SP 23,3,6
2023-02-18,0.0,165.0,0.0,165.0,POLI 100B,SP 23,1,1
2023-02-19,10.0,155.0,0.0,165.0,POLI 100B,SP 23,1,2
2023-02-20,10.0,155.0,0.0,165.0,POLI 100B,SP 23,1,3
2023-02-21,17.0,148.0,0.0,165.0,POLI 100B,SP 23,1,4
2023-02-25,74.0,91.0,0.0,165.0,POLI 100B,SP 23,2,1
2023-02-26,74.0,91.0,0.0,165.0,POLI 100B,SP 23,2,2
2023-02-27,74.0,91.0,0.0,165.0,POLI 100B,SP 23,2,3
2023-02-28,94.0,71.0,0.0,165.0,POLI 100B,SP 23,2,4
2023-03-04,165.0,0.0,13.0,165.0,POLI 100B,SP 23,3,6
2023-02-18,0.0,0.0,0.0,0.0,POLI 100E,SP 23,1,1
2023-02-19,0.0,0.0,0.0,0.0,POLI 100E,SP 23,1,2
2023-02-20,0.0,0.0,0.0,0.0,POLI 100E,SP 23,1,3
2023-02-21,0.0,0.0,0.0,0.0,POLI 100E,SP 23,1,4
2023-02-25,0.0,0.0,0.0,0.0,POLI 100E,SP 23,2,1
2023-02-26,0.0,0.0,0.0,0.0,POLI 100E,SP 23,2,2
2023-02-27,0.0,0.0,0.0,0.0,POLI 100E,SP 23,2,3
2023-02-18,0.0,175.0,0.0,175.0,POLI 103A,SP 23,1,1
2023-02-19,9.0,166.0,0.0,175.0,POLI 103A,SP 23,1,2
2023-02-20,10.0,155.0,0.0,165.0,POLI 103A,SP 23,1,3
2023-02-21,24.0,141.0,0.0,165.0,POLI 103A,SP 23,1,4
2023-02-25,103.0,62.0,0.0,165.0,POLI 103A,SP 23,2,1
2023-02-26,103.0,62.0,0.0,165.0,POLI 103A,SP 23,2,2
2023-02-27,103.0,62.0,0.0,165.0,POLI 103A,SP 23,2,3
2023-02-28,120.0,45.0,0.0,165.0,POLI 103A,SP 23,2,4
2023-03-04,165.0,0.0,24.0,165.0,POLI 103A,SP 23,3,6
2023-02-18,0.0,165.0,0.0,165.0,POLI 104D,SP 23,1,1
2023-02-19,3.0,162.0,0.0,165.0,POLI 104D,SP 23,1,2
2023-02-20,3.0,162.0,0.0,165.0,POLI 104D,SP 23,1,3
2023-02-21,13.0,152.0,0.0,165.0,POLI 104D,SP 23,1,4
2023-02-25,47.0,118.0,0.0,165.0,POLI 104D,SP 23,2,1
2023-02-26,47.0,118.0,0.0,165.0,POLI 104D,SP 23,2,2
2023-02-27,47.0,118.0,0.0,165.0,POLI 104D,SP 23,2,3
2023-02-28,56.0,109.0,0.0,165.0,POLI 104D,SP 23,2,4
2023-03-04,138.0,27.0,0.0,165.0,POLI 104D,SP 23,3,6
2023-02-18,0.0,50.0,0.0,50.0,POLI 104J,SP 23,1,1
2023-02-19,14.0,36.0,0.0,50.0,POLI 104J,SP 23,1,2
2023-02-20,16.0,34.0,0.0,50.0,POLI 104J,SP 23,1,3
2023-02-21,31.0,19.0,0.0,50.0,POLI 104J,SP 23,1,4
2023-02-25,50.0,0.0,0.0,50.0,POLI 104J,SP 23,2,1
2023-02-26,50.0,0.0,0.0,50.0,POLI 104J,SP 23,2,2
2023-02-27,50.0,0.0,0.0,50.0,POLI 104J,SP 23,2,3
2023-02-28,50.0,0.0,4.0,50.0,POLI 104J,SP 23,2,4
2023-03-04,50.0,0.0,33.0,50.0,POLI 104J,SP 23,3,6
2023-02-18,0.0,165.0,0.0,165.0,POLI 104P,SP 23,1,1
2023-02-19,6.0,159.0,0.0,165.0,POLI 104P,SP 23,1,2
2023-02-20,8.0,157.0,0.0,165.0,POLI 104P,SP 23,1,3
2023-02-21,19.0,146.0,0.0,165.0,POLI 104P,SP 23,1,4
2023-02-25,86.0,79.0,0.0,165.0,POLI 104P,SP 23,2,1
2023-02-26,86.0,79.0,0.0,165.0,POLI 104P,SP 23,2,2
2023-02-27,86.0,79.0,0.0,165.0,POLI 104P,SP 23,2,3
2023-02-28,103.0,62.0,0.0,165.0,POLI 104P,SP 23,2,4
2023-03-04,165.0,0.0,16.0,165.0,POLI 104P,SP 23,3,6
2023-02-18,0.0,280.0,0.0,280.0,POLI 108,SP 23,1,1
2023-02-19,5.0,275.0,0.0,280.0,POLI 108,SP 23,1,2
2023-02-20,9.0,271.0,0.0,280.0,POLI 108,SP 23,1,3
2023-02-21,13.0,267.0,0.0,280.0,POLI 108,SP 23,1,4
2023-02-25,37.0,243.0,0.0,280.0,POLI 108,SP 23,2,1
2023-02-26,37.0,243.0,0.0,280.0,POLI 108,SP 23,2,2
2023-02-27,37.0,243.0,0.0,280.0,POLI 108,SP 23,2,3
2023-02-28,45.0,235.0,0.0,280.0,POLI 108,SP 23,2,4
2023-03-04,126.0,154.0,0.0,280.0,POLI 108,SP 23,3,6
2023-02-18,0.0,50.0,0.0,50.0,POLI 110C,SP 23,1,1
2023-02-19,1.0,49.0,0.0,50.0,POLI 110C,SP 23,1,2
2023-02-20,1.0,49.0,0.0,50.0,POLI 110C,SP 23,1,3
2023-02-21,4.0,46.0,0.0,50.0,POLI 110C,SP 23,1,4
2023-02-25,25.0,25.0,0.0,50.0,POLI 110C,SP 23,2,1
2023-02-26,25.0,25.0,0.0,50.0,POLI 110C,SP 23,2,2
2023-02-27,25.0,25.0,0.0,50.0,POLI 110C,SP 23,2,3
2023-02-28,30.0,20.0,0.0,50.0,POLI 110C,SP 23,2,4
2023-03-04,50.0,0.0,6.0,50.0,POLI 110C,SP 23,3,6
2023-02-18,0.0,204.0,0.0,204.0,POLI 11D,SP 23,1,1
2023-02-19,15.0,189.0,0.0,204.0,POLI 11D,SP 23,1,2
2023-02-20,18.0,186.0,0.0,204.0,POLI 11D,SP 23,1,3
2023-02-21,23.0,181.0,0.0,204.0,POLI 11D,SP 23,1,4
2023-02-25,144.0,60.0,0.0,204.0,POLI 11D,SP 23,2,1
2023-02-26,144.0,60.0,0.0,204.0,POLI 11D,SP 23,2,2
2023-02-27,144.0,60.0,0.0,204.0,POLI 11D,SP 23,2,3
2023-02-28,152.0,52.0,1.0,204.0,POLI 11D,SP 23,2,4
2023-03-04,204.0,0.0,20.0,204.0,POLI 11D,SP 23,3,6
2023-02-18,0.0,230.0,0.0,230.0,POLI 122,SP 23,1,1
2023-02-19,6.0,224.0,0.0,230.0,POLI 122,SP 23,1,2
2023-02-20,7.0,223.0,0.0,230.0,POLI 122,SP 23,1,3
2023-02-21,10.0,220.0,0.0,230.0,POLI 122,SP 23,1,4
2023-02-25,38.0,192.0,0.0,230.0,POLI 122,SP 23,2,1
2023-02-26,38.0,192.0,0.0,230.0,POLI 122,SP 23,2,2
2023-02-27,38.0,192.0,0.0,230.0,POLI 122,SP 23,2,3
2023-02-28,43.0,187.0,0.0,230.0,POLI 122,SP 23,2,4
2023-03-04,93.0,137.0,0.0,230.0,POLI 122,SP 23,3,6
2023-02-18,0.0,115.0,0.0,115.0,POLI 125,SP 23,1,1
2023-02-19,4.0,111.0,0.0,115.0,POLI 125,SP 23,1,2
2023-02-20,3.0,112.0,0.0,115.0,POLI 125,SP 23,1,3
2023-02-21,10.0,105.0,0.0,115.0,POLI 125,SP 23,1,4
2023-02-25,32.0,83.0,0.0,115.0,POLI 125,SP 23,2,1
2023-02-26,32.0,83.0,0.0,115.0,POLI 125,SP 23,2,2
2023-02-27,32.0,83.0,0.0,115.0,POLI 125,SP 23,2,3
2023-02-28,36.0,79.0,0.0,115.0,POLI 125,SP 23,2,4
2023-03-04,75.0,40.0,0.0,115.0,POLI 125,SP 23,3,6
2023-02-18,0.0,165.0,0.0,165.0,POLI 125B,SP 23,1,1
2023-02-19,11.0,154.0,0.0,165.0,POLI 125B,SP 23,1,2
2023-02-20,11.0,154.0,0.0,165.0,POLI 125B,SP 23,1,3
2023-02-21,20.0,145.0,0.0,165.0,POLI 125B,SP 23,1,4
2023-02-25,52.0,113.0,0.0,165.0,POLI 125B,SP 23,2,1
2023-02-26,52.0,113.0,0.0,165.0,POLI 125B,SP 23,2,2
2023-02-27,52.0,113.0,0.0,165.0,POLI 125B,SP 23,2,3
2023-02-28,67.0,98.0,0.0,165.0,POLI 125B,SP 23,2,4
2023-03-04,134.0,31.0,0.0,165.0,POLI 125B,SP 23,3,6
2023-02-18,0.0,280.0,0.0,280.0,POLI 125D,SP 23,1,1
2023-02-19,4.0,276.0,0.0,280.0,POLI 125D,SP 23,1,2
2023-02-20,4.0,276.0,0.0,280.0,POLI 125D,SP 23,1,3
2023-02-21,7.0,273.0,0.0,280.0,POLI 125D,SP 23,1,4
2023-02-25,31.0,249.0,0.0,280.0,POLI 125D,SP 23,2,1
2023-02-26,31.0,249.0,0.0,280.0,POLI 125D,SP 23,2,2
